name,geometry
William Morris Gallery,"POLYGON ((-0.0203227 51.5912189, -0.0203223 51.5912179, -0.0203257 51.5912062, -0.0203364 51.5911964, -0.0203526 51.5911902, -0.0203715 51.5911886, -0.0203898 51.5911919, -0.0204044 51.5911996, -0.0204109 51.5912083, -0.0205254 51.5911942, -0.0205315 51.5912133, -0.020548 51.591265, -0.0205793 51.5912611, -0.020599 51.5913227, -0.0205548 51.5913282, -0.0204533 51.5913407, -0.0201978 51.591372, -0.0202015 51.5913833, -0.0200368 51.5914042, -0.0199893 51.5912603, -0.0201541 51.5912393, -0.0201567 51.5912392, -0.0201561 51.5912375, -0.0201594 51.5912258, -0.0201702 51.591216, -0.0201864 51.5912098, -0.0202053 51.5912082, -0.0202236 51.5912115, -0.0202381 51.5912192, -0.0202453 51.5912284, -0.020268 51.5912256, -0.0202877 51.5912232, -0.0203061 51.5912209, -0.0203227 51.5912189))"
Rainham Hall,"POLYGON ((0.1906812 51.5179641, 0.1908402 51.5180039, 0.1908728 51.5179534, 0.1909024 51.5179076, 0.1907434 51.5178678, 0.1907131 51.5179148, 0.1906812 51.5179641))"
National Maritime Museum,"POLYGON ((-0.0055445 51.4806408, -0.005906 51.4810563, -0.0059126 51.481054, -0.0059923 51.4811463, -0.0059805 51.4811503, -0.0058212 51.4812038, -0.0057513 51.4811261, -0.0057564 51.4811243, -0.0057139 51.481075, -0.005642 51.4810992, -0.0056972 51.4811669, -0.0055948 51.4812022, -0.005606 51.4812146, -0.0055636 51.4812294, -0.0055561 51.4812207, -0.0055298 51.4812298, -0.0054939 51.4812423, -0.0055018 51.4812509, -0.0054611 51.4812651, -0.0054493 51.4812526, -0.0053493 51.4812872, -0.0053051 51.4812361, -0.0052857 51.4812429, -0.0052661 51.4812207, -0.0051756 51.4812514, -0.0052239 51.4813058, -0.005261 51.481293, -0.005326 51.4813686, -0.0051127 51.4814424, -0.0050456 51.4813656, -0.0050808 51.4813534, -0.0048055 51.4810327, -0.0047687 51.4810442, -0.0046998 51.4809681, -0.0047126 51.480964, -0.0047391 51.4809556, -0.0046788 51.4808849, -0.0046066 51.4808026, -0.0045383 51.4807255, -0.0045019 51.480736, -0.0044361 51.4806607, -0.0045038 51.4806381, -0.0045121 51.4806473, -0.00459 51.4806205, -0.0045824 51.4806116, -0.004647 51.4805903, -0.0046525 51.4805885, -0.0047052 51.4806506, -0.0047176 51.4806652, -0.0046918 51.4806744, -0.0047542 51.4807491, -0.0048822 51.4807061, -0.0048753 51.4806969, -0.0050817 51.4806251, -0.0050655 51.4806064, -0.0052105 51.480558, -0.0052263 51.4805763, -0.0053498 51.4805345, -0.0054314 51.4805068, -0.0055084 51.4805948, -0.0055755 51.4805718, -0.0053801 51.4803525, -0.0055307 51.480302, -0.0057707 51.4802216, -0.0060657 51.4801227, -0.0060891 51.4801491, -0.0061183 51.4801822, -0.0062351 51.4803141, -0.0062853 51.4802974, -0.0063736 51.4803977, -0.0056402 51.4806458, -0.0056158 51.4806172, -0.0055445 51.4806408))"
Museum of Harrow Life,"POLYGON ((-0.3353951 51.5738109, -0.335459 51.5737647, -0.3353445 51.5737035, -0.335209 51.5738014, -0.3352754 51.5738369, -0.3353469 51.5737851, -0.3353951 51.5738109))"
London Canal Museum,"POLYGON ((-0.1203939 51.5342606, -0.1203899 51.5341703, -0.12002 51.5341765, -0.120024 51.5342669, -0.1203939 51.5342606))"
Fusiliers Museum,"POLYGON ((-0.0751397 51.5084156, -0.0751395 51.508431, -0.0752173 51.5084318, -0.0753558 51.508433, -0.0753577 51.5083645, -0.0753745 51.5083644, -0.0753863 51.508357, -0.0753869 51.5083467, -0.075375 51.5083393, -0.0753661 51.5083392, -0.0753669 51.5083102, -0.075368 51.5082813, -0.0753764 51.5082812, -0.0753882 51.5082738, -0.075389 51.5082634, -0.0753771 51.508256, -0.0753604 51.508256, -0.0753621 51.5081874, -0.0752966 51.5081869, -0.0752246 51.5081862, -0.0751488 51.5081856, -0.0751463 51.5082834, -0.0752217 51.5082842, -0.0752203 51.5083321, -0.0750867 51.508331, -0.0750857 51.508415, -0.0751397 51.5084156))"
Churchill Museum and Cabinet War Rooms,"POLYGON ((-0.1291968 51.5022264, -0.1291995 51.5021983, -0.1293076 51.5022024, -0.1293048 51.5022306, -0.1291968 51.5022264))"
Upminster Tithe Barn,"POLYGON ((0.2566516 51.5668038, 0.2572477 51.5667328, 0.2572835 51.5668491, 0.2566874 51.5669201, 0.2566516 51.5668038))"
Red House,"POLYGON ((0.1302691 51.4555482, 0.1303332 51.4555422, 0.1305409 51.4555216, 0.1305219 51.4554464, 0.1303951 51.4554588, 0.1303886 51.455433, 0.1304259 51.4554293, 0.1304149 51.4553859, 0.1303751 51.4553898, 0.1303452 51.455263, 0.1301989 51.4552753, 0.1302469 51.4554647, 0.1302188 51.4554675, 0.1302295 51.4555102, 0.1302588 51.4555073, 0.1302691 51.4555482))"
Horniman Museum,"POLYGON ((-0.0613963 51.4407786, -0.0613982 51.4407607, -0.0612474 51.4407488, -0.0612446 51.4407646, -0.0612236 51.4407632, -0.0612258 51.4407506, -0.0609729 51.4407335, -0.0609756 51.4407207, -0.06077 51.4407051, -0.060768 51.4407166, -0.0607205 51.440713, -0.0606955 51.4407112, -0.0606547 51.4407089, -0.0606424 51.4407648, -0.0606836 51.440767, -0.0605808 51.4413332, -0.060851 51.4413527, -0.0608794 51.4411916, -0.0609523 51.4411966, -0.0609757 51.4410642, -0.0610918 51.4410722, -0.0610878 51.4410949, -0.0610686 51.4412038, -0.061138 51.4412085, -0.0611355 51.441223, -0.0613078 51.4412337, -0.0613383 51.4410845, -0.0613636 51.4409708, -0.0613963 51.4407786))"
Biggin Hill Memorial Museum,"POLYGON ((0.0234514 51.3271133, 0.0232731 51.3271102, 0.0232703 51.3271732, 0.0234486 51.3271763, 0.0234514 51.3271133))"
The Jewish Museum,"POLYGON ((-0.1445461 51.5373655, -0.144479 51.5372943, -0.1446225 51.5372428, -0.1446323 51.5372531, -0.1446837 51.5373067, -0.144689 51.5373126, -0.1445461 51.5373655))"
Jack the Ripper Museum,"POLYGON ((-0.0679345 51.5107581, -0.0678666 51.5107644, -0.0678835 51.5108088, -0.0679544 51.5108089, -0.0679345 51.5107581))"
Royal Observatory Greenwich,"POLYGON ((-0.0021059 51.4778391, -0.0020591 51.4778306, -0.0019895 51.477663, -0.0018726 51.477684, -0.0018465 51.4776226, -0.0017736 51.4776346, -0.001472 51.4776859, -0.0012796 51.4777164, -0.0012489 51.4776815, -0.0012031 51.4776567, -0.0011634 51.4776451, -0.0011184 51.4776381, -0.0009323 51.4774968, -0.0009342 51.4774063, -0.0009846 51.4773182, -0.0009362 51.4772614, -0.0009943 51.4771274, -0.0010305 51.477027, -0.0010319 51.4769385, -0.0008955 51.4768504, -0.0009219 51.4768349, -0.0008275 51.4767836, -0.0008801 51.4767438, -0.0008402 51.4767233, -0.0006919 51.4766473, -0.0006913 51.4766453, -0.0006782 51.4766376, -0.000673 51.4766295, -0.0005885 51.4765762, -0.0005255 51.4766192, -0.0001671 51.4767308, -0.0002277 51.4767932, -0.0002471 51.4768132, -0.0002606 51.4768132, -0.0002721 51.4768134, -0.0002679 51.4768788, -0.0002994 51.4768902, -0.0003851 51.4768908, -0.0004446 51.477012, -0.0004723 51.477071, -0.0005002 51.4770974, -0.0005149 51.4770976, -0.0005388 51.4770974, -0.0005379 51.477144, -0.0008029 51.4774423, -0.0008223 51.4774421, -0.0008395 51.4774419, -0.0008565 51.4775146, -0.0009995 51.4776823, -0.0010412 51.4777311, -0.0011033 51.4778039, -0.0011212 51.4778168, -0.0011492 51.4778165, -0.0011795 51.4778161, -0.0011793 51.4778339, -0.0012717 51.4778342, -0.0013501 51.4778344, -0.0013512 51.4778699, -0.0013536 51.4778757, -0.0013597 51.4778802, -0.0013695 51.477883, -0.0013802 51.4778825, -0.0013801 51.4779136, -0.0013797 51.4779555, -0.0013808 51.4779662, -0.0013857 51.4779758, -0.0013948 51.4779848, -0.0014074 51.4779919, -0.0014751 51.4780228, -0.0016523 51.4781036, -0.0016658 51.478107, -0.001682 51.4781077, -0.0017542 51.4780969, -0.0017564 51.4781037, -0.0018235 51.478095, -0.0021195 51.478053, -0.0021851 51.478043, -0.0021059 51.4778391))"
The Cinema Museum,"POLYGON ((-0.1052515 51.4924601, -0.1051877 51.49236, -0.1053298 51.4923237, -0.1052974 51.492265, -0.1052579 51.492199, -0.1051071 51.4922368, -0.1050437 51.4921374, -0.1049805 51.492153, -0.1049684 51.492134, -0.1049356 51.4921421, -0.1049215 51.49212, -0.1048095 51.4921477, -0.1048053 51.4921412, -0.1047546 51.4921537, -0.1047578 51.4921666, -0.1047994 51.4922292, -0.1049548 51.4921908, -0.1051245 51.492457, -0.1049754 51.4924939, -0.1049848 51.492508, -0.105071 51.4926407, -0.1051124 51.4926304, -0.1050607 51.4925493, -0.1051746 51.4925212, -0.1051654 51.4925069, -0.1052037 51.4924974, -0.1051896 51.4924754, -0.1052515 51.4924601))"
Tower Bridge Exhibition,"POLYGON ((-0.0752536 51.5059379, -0.075255 51.5059354, -0.0752555 51.5059326, -0.0752549 51.5059299, -0.0752535 51.5059274, -0.0752511 51.5059251, -0.0752471 51.5059228, -0.0752881 51.5058624, -0.0752909 51.5058624, -0.0752943 51.5058622, -0.0752985 51.5058614, -0.0753025 51.5058599, -0.0753057 51.505858, -0.0753081 51.5058556, -0.0753242 51.5058614, -0.0753374 51.5058696, -0.0753468 51.5058796, -0.0753516 51.5058909, -0.0753517 51.5059025, -0.0753469 51.5059137, -0.0753376 51.5059238, -0.0753244 51.505932, -0.0753082 51.5059378, -0.0752902 51.5059409, -0.0752715 51.5059409, -0.0752536 51.5059379))"
Waterloo Block,"POLYGON ((-0.0754186 51.508571, -0.0753811 51.5085708, -0.075382 51.5084902, -0.075512 51.5084911, -0.0755119 51.5085187, -0.0759015 51.5085204, -0.0759017 51.5085053, -0.0759231 51.5084924, -0.0759529 51.5084927, -0.0759736 51.508506, -0.0759733 51.5085208, -0.076017 51.5085211, -0.0760642 51.5085214, -0.0760645 51.5085068, -0.0760858 51.5084939, -0.0761157 51.5084942, -0.0761364 51.5085075, -0.0761363 51.5085217, -0.0765294 51.5085245, -0.0765288 51.508499, -0.0766615 51.5084995, -0.0766607 51.5085806, -0.0766123 51.5085806, -0.076612 51.5085913, -0.0766254 51.5085914, -0.0766252 51.5086066, -0.0766116 51.5086065, -0.0766113 51.5086248, -0.0766251 51.5086249, -0.076625 51.5086371, -0.0766108 51.508637, -0.0766104 51.5086551, -0.076624 51.5086551, -0.0766238 51.5086685, -0.0766098 51.5086684, -0.0766095 51.5086785, -0.0760951 51.5086755, -0.0760946 51.5087094, -0.0760944 51.5087206, -0.0760764 51.5087205, -0.0759704 51.5087199, -0.0759352 51.5087197, -0.0759356 51.508698, -0.075936 51.5086745, -0.0754167 51.508672, -0.0754169 51.5086613, -0.0754017 51.5086613, -0.075402 51.5086434, -0.0754172 51.5086435, -0.0754174 51.508636, -0.0754175 51.5086285, -0.0754027 51.5086285, -0.0754029 51.5086133, -0.0754177 51.5086134, -0.075418 51.5085977, -0.0754038 51.5085977, -0.075404 51.5085817, -0.0754183 51.5085818, -0.0754186 51.508571))"
Valence House,"POLYGON ((0.1339938 51.5581172, 0.1340845 51.5583748, 0.1344284 51.558328, 0.1344192 51.558302, 0.1345909 51.5582787, 0.1345662 51.5582085, 0.1344712 51.5582214, 0.1344737 51.5582284, 0.1341652 51.5582704, 0.1341059 51.558102, 0.1339938 51.5581172))"
Ragged School Museum,"POLYGON ((-0.0356123 51.5187522, -0.035603 51.5187077, -0.0355996 51.5186786, -0.0357005 51.5186717, -0.035755 51.5187442, -0.0358766 51.5189006, -0.0356363 51.5189136, -0.0356123 51.5187522))"
Museum of Brands,"POLYGON ((-0.2108511 51.5164527, -0.2109944 51.5164102, -0.2109993 51.5164294, -0.2110546 51.5164335, -0.2110937 51.5164284, -0.2111296 51.5164193, -0.2111605 51.5164061, -0.2111898 51.5163889, -0.2112191 51.5163615, -0.2112088 51.516345, -0.2113513 51.5163038, -0.2113442 51.5162953, -0.2113762 51.5162849, -0.2113063 51.5161956, -0.2112949 51.5161984, -0.2111778 51.5160476, -0.2110345 51.5160904, -0.2111239 51.5162105, -0.2109643 51.5162572, -0.2109001 51.5162267, -0.2108695 51.5162361, -0.2108078 51.5161581, -0.2107784 51.5161236, -0.2106215 51.5161691, -0.2106678 51.5162324, -0.2107664 51.5163494, -0.2106857 51.5163727, -0.2107273 51.5164264, -0.2108071 51.5164011, -0.2108511 51.5164527))"
Crossness Pumping Station,"POLYGON ((0.138478 51.5093881, 0.1386284 51.5093317, 0.1387787 51.5092753, 0.1386699 51.5091629, 0.1388058 51.5091119, 0.138743 51.5090471, 0.1386802 51.5089823, 0.1386126 51.5090077, 0.138538 51.5089306, 0.1383992 51.5087874, 0.1381837 51.5088682, 0.1379683 51.5089491, 0.1380124 51.5089946, 0.1380886 51.5090732, 0.1381012 51.5090862, 0.1381121 51.5090976, 0.1381817 51.5091694, 0.1380931 51.5092027, 0.1381559 51.5092675, 0.1382187 51.5093323, 0.1383692 51.5092758, 0.138478 51.5093881))"
Wimbledon Windmill Museum,"POLYGON ((-0.2316547 51.4375995, -0.2317054 51.4376286, -0.231704 51.4376742, -0.2316557 51.4377075, -0.231586 51.4377133, -0.2315281 51.4376815, -0.2315331 51.4376408, -0.2315832 51.4376058, -0.2316547 51.4375995))"
Clapham South Deep Level Shelter,"POLYGON ((-0.1479305 51.4517854, -0.1479597 51.4517934, -0.1479913 51.4517954, -0.1480224 51.451791, -0.1480497 51.4517808, -0.1480705 51.4517658, -0.1480832 51.4517459, -0.1480845 51.4517246, -0.1480741 51.4517042, -0.1480534 51.4516872, -0.1480246 51.4516756, -0.1479913 51.4516707, -0.1479572 51.451673, -0.1479264 51.4516824, -0.1479025 51.4516977, -0.1478889 51.4517156, -0.1478872 51.4517243, -0.147885 51.4517353, -0.1478912 51.4517548, -0.1479069 51.4517721, -0.1479305 51.4517854))"
Heath Robinson Museum,"POLYGON ((-0.3867753 51.5925719, -0.3868647 51.5927443, -0.3866823 51.5927493, -0.3866838 51.5928552, -0.3865714 51.5928571, -0.3865108 51.5928586, -0.3865049 51.5928075, -0.3865722 51.5928056, -0.3865712 51.5927662, -0.3865749 51.5926077, -0.3866911 51.5925952, -0.3866954 51.5925746, -0.3867753 51.5925719))"
Museum of Wimbledon,"POLYGON ((-0.2165611 51.4231859, -0.2167563 51.4232723, -0.2167027 51.4233193, -0.2167756 51.4233516, -0.2168287 51.4233049, -0.2169198 51.4233452, -0.2167428 51.4235008, -0.2165635 51.4234254, -0.2163907 51.4233502, -0.2165611 51.4231859))"
Wandle Industrial Museum,"POLYGON ((-0.1681968 51.4022998, -0.1679808 51.4022086, -0.1679352 51.4022471, -0.1681498 51.4023416, -0.1681968 51.4022998))"
Kempton Steam Museum,"POLYGON ((-0.4044446 51.4257462, -0.4045538 51.4256018, -0.4047675 51.4256647, -0.4050736 51.4257547, -0.4050221 51.4258228, -0.4050895 51.4258427, -0.40492 51.4260667, -0.4048601 51.4260491, -0.4048214 51.4261004, -0.4045649 51.426025, -0.404297 51.4259463, -0.4044007 51.4258091, -0.4043277 51.4257876, -0.4043002 51.425824, -0.4041603 51.4257828, -0.4042348 51.4256844, -0.4044446 51.4257462))"
Camera Museum,"POLYGON ((-0.1253784 51.5176631, -0.1252215 51.5177305, -0.1251609 51.5177565, -0.1251399 51.5177656, -0.1251067 51.5177357, -0.1250618 51.517755, -0.1250466 51.5177413, -0.125264 51.5176478, -0.12533 51.5176195, -0.1253784 51.5176631))"
Harrow Museum,"POLYGON ((-0.3556904 51.5943419, -0.3548858 51.5946968, -0.3549501 51.5947451, -0.3549196 51.5947593, -0.3549086 51.5947644, -0.3548989 51.5947689, -0.3548502 51.5948289, -0.3539711 51.5952183, -0.353841 51.5952425, -0.3536975 51.5952075, -0.3530628 51.5947082, -0.3530695 51.5945709, -0.3538544 51.5941744, -0.3540543 51.5940453, -0.3542541 51.5940945, -0.3545371 51.5941932, -0.3546229 51.594229, -0.3546662 51.5942071, -0.3547094 51.5941853, -0.3547174 51.5941469, -0.3551406 51.5939378, -0.3551969 51.5939228, -0.3552425 51.5939337, -0.3552827 51.5939595, -0.3556113 51.5942253, -0.355626 51.5942952, -0.3556904 51.5943419))"
The Museum of Philatelic History,"POLYGON ((-0.150151 51.5214865, -0.1501391 51.5214544, -0.1502393 51.5214362, -0.1502211 51.5213959, -0.1501166 51.5214113, -0.1501099 51.5214017, -0.1498875 51.5214444, -0.1499242 51.5215268, -0.150151 51.5214865))"
Manor Farm House,"POLYGON ((-0.4273821 51.5786685, -0.4273272 51.578667, -0.4272724 51.5786655, -0.427271 51.5786859, -0.4271868 51.5786836, -0.427186 51.5786836, -0.4271812 51.5787511, -0.4272666 51.5787534, -0.4272635 51.5787971, -0.4272613 51.5788284, -0.427259 51.5788598, -0.4274167 51.5788641, -0.4274189 51.5788327, -0.4274211 51.5788013, -0.4273728 51.5788, -0.4273782 51.5787234, -0.4273821 51.5786685))"
Pram Shed,"POLYGON ((-0.4274588 51.5785311, -0.4274441 51.5785733, -0.4273879 51.5785657, -0.4273317 51.5785581, -0.4273463 51.578516, -0.4274588 51.5785311))"
Polish Institute and Sikorski Museum,"POLYGON ((-0.1729426 51.501573, -0.1728372 51.5015782, -0.172802 51.5012812, -0.1729045 51.5012766, -0.1729426 51.501573))"
Design Museum,"POLYGON ((-0.2003995 51.5001998, -0.1996698 51.5000247, -0.1998052 51.4998059, -0.1998418 51.4997467, -0.199928 51.4996075, -0.199948 51.4995752, -0.2006778 51.4997503, -0.2003995 51.5001998))"
Merton Priory Chapter House Museum,"POLYGON ((-0.1819638 51.4142091, -0.1819245 51.4140999, -0.181905 51.4140418, -0.1814574 51.4140979, -0.1814753 51.4141617, -0.1815045 51.4142653, -0.1819638 51.4142091))"
Museum of the Home,"POLYGON ((-0.0764007 51.5322765, -0.0769738 51.5322481, -0.0769153 51.5312986, -0.0769484 51.5312047, -0.0767644 51.5311924, -0.0766911 51.5311953, -0.076675 51.5311967, -0.0765975 51.5311829, -0.0766719 51.5307056, -0.0765494 51.5307079, -0.076465 51.5307005, -0.0762531 51.5306937, -0.0760612 51.5306919, -0.0760545 51.5307546, -0.0760636 51.5307554, -0.0760615 51.5308348, -0.0759471 51.5308328, -0.0759441 51.5309845, -0.0759271 51.5310065, -0.0759316 51.5310281, -0.0759316 51.5311046, -0.0759314 51.5313766, -0.0759289 51.5314081, -0.0759293 51.5314298, -0.0759324 51.5316189, -0.0759158 51.5321486, -0.0759144 51.5321935, -0.0759144 51.5322306, -0.0759266 51.5323348, -0.0763765 51.5323103, -0.0764007 51.5322765))"
Eel Pie Island Museum,"POLYGON ((-0.3256978 51.4485404, -0.32558 51.448423, -0.3255629 51.4484307, -0.3254529 51.4483495, -0.3254163 51.4483161, -0.3254086 51.4483198, -0.325366 51.4482787, -0.3254062 51.4482603, -0.3255534 51.4482003, -0.3255906 51.4482394, -0.3257088 51.4483523, -0.3257456 51.4483897, -0.3258373 51.4484825, -0.3256978 51.4485404))"
Chelsea FC Museum and Stadium Tours,"POLYGON ((-0.1917278 51.4826896, -0.1915535 51.4825351, -0.1915186 51.4825184, -0.1914878 51.4825142, -0.1914516 51.482515, -0.1914274 51.4825192, -0.19141 51.4825225, -0.1913774 51.4825397, -0.1908467 51.4827839, -0.190832 51.4828007, -0.1908212 51.482814, -0.1908186 51.4828316, -0.1908212 51.4828483, -0.1908266 51.4828616, -0.1908414 51.482875, -0.1910452 51.4830312, -0.191068 51.483042, -0.1910875 51.4830437, -0.1911082 51.4830435, -0.1911284 51.4830411, -0.1911445 51.4830345, -0.1916963 51.482789, -0.1917198 51.4827781, -0.1917365 51.4827642, -0.1917466 51.4827477, -0.1917479 51.4827265, -0.1917426 51.48271, -0.1917278 51.4826896))"
London Museum of Water and Steam,"POLYGON ((-0.2906761 51.489471, -0.2912334 51.489182, -0.2911937 51.4890639, -0.2910102 51.4887197, -0.2909142 51.4886441, -0.2907608 51.4885616, -0.2907226 51.4885695, -0.2906815 51.4885006, -0.2901782 51.4886078, -0.2901174 51.4886211, -0.2900776 51.4886289, -0.2900036 51.4886398, -0.2899315 51.4886513, -0.2897498 51.4886797, -0.2897123 51.4886855, -0.289598 51.4887035, -0.2895893 51.4887072, -0.2895823 51.488712, -0.2895781 51.4887178, -0.2895788 51.4887236, -0.2895828 51.488733, -0.2895914 51.4887436, -0.2896048 51.4887588, -0.2898041 51.4890166, -0.2898168 51.489013, -0.2898976 51.4891186, -0.289902 51.4891242, -0.2899067 51.4891301, -0.2899117 51.489134, -0.2899163 51.4891363, -0.2899233 51.4891396, -0.2899565 51.489152, -0.289978 51.4891792, -0.2900465 51.4892362, -0.2900729 51.4892541, -0.2901217 51.4892843, -0.290248 51.4893494, -0.2902914 51.4893664, -0.2904335 51.4894208, -0.2905107 51.4894418, -0.2905772 51.4894553, -0.2906761 51.489471))"
,"POLYGON ((-0.1050329 51.4422261, -0.1052204 51.4422927, -0.1053095 51.4421952, -0.105122 51.4421286, -0.1050329 51.4422261))"
South London Botannical Institute,"POLYGON ((-0.1046955 51.4421325, -0.1050329 51.4422261, -0.1052204 51.4422927, -0.10539 51.4423331, -0.1054748 51.4422258, -0.1053134 51.4421904, -0.1051135 51.4421244, -0.1047733 51.4420335, -0.1046955 51.4421325))"
The Faraday Effect,"POLYGON ((0.008274 51.5076688, 0.0083038 51.5076591, 0.0082897 51.5076423, 0.0082599 51.5076521, 0.008274 51.5076688))"
Story Box,"POLYGON ((0.0083971 51.5076863, 0.0084289 51.5076774, 0.0083928 51.5076273, 0.0083611 51.5076362, 0.0083971 51.5076863))"
RAF Hornchurch Heritage Centre,"POLYGON ((0.2158126 51.5460282, 0.2156954 51.5458381, 0.2161544 51.5457135, 0.2162867 51.5458986, 0.2158126 51.5460282))"
Ford Heritage Centre,"POLYGON ((0.1507523 51.5212452, 0.1508088 51.5212442, 0.1508106 51.5212847, 0.1510576 51.5212804, 0.1510246 51.5205415, 0.1507089 51.520547, 0.1507296 51.5210116, 0.1507418 51.5210114, 0.1507523 51.5212452))"
Eastbury Manor House,"POLYGON ((0.0992178 51.5344031, 0.0996503 51.534399, 0.0996456 51.5342105, 0.0995296 51.5342116, 0.0995321 51.5343109, 0.0993386 51.5343127, 0.0993361 51.5342134, 0.0992131 51.5342146, 0.0992178 51.5344031))"
Black Cultural Archive,"POLYGON ((-0.1145527 51.4606447, -0.1147025 51.4606184, -0.1146935 51.4605781, -0.1146717 51.4605785, -0.1146583 51.4604768, -0.114819 51.4604644, -0.1147844 51.4603778, -0.1145117 51.4604205, -0.1145159 51.4604437, -0.1145299 51.46052, -0.1145527 51.4606447))"
Carlyle's House,"POLYGON ((-0.1698821 51.4841091, -0.1698397 51.4840623, -0.1697099 51.4841079, -0.1697373 51.4841303, -0.1697022 51.4841427, -0.169723 51.4841655, -0.1697527 51.484155, -0.1698821 51.4841091))"
Brunel Museum,"POLYGON ((-0.0528777 51.5018386, -0.0531855 51.5017497, -0.0529549 51.5014596, -0.0528757 51.501445, -0.0527721 51.5014627, -0.0525414 51.5015588, -0.0527128 51.5017267, -0.0528368 51.5018277, -0.0528777 51.5018386))"
Borough Museum,"POLYGON ((0.0962691 51.486489, 0.0959325 51.4865628, 0.0958637 51.4864411, 0.0961633 51.4863755, 0.0961898 51.4864223, 0.0962269 51.4864142, 0.0962691 51.486489))"
Sambrook's Brewery Heritage Centre & Beershop,"POLYGON ((-0.1926 51.4571096, -0.1927688 51.4571652, -0.1927892 51.4571436, -0.1928452 51.4570846, -0.1928208 51.4570772, -0.1927242 51.4570441, -0.1926626 51.4570232, -0.1926 51.4571096))"
The Tradescant Ark Gallery,"POLYGON ((-0.1198918 51.4949921, -0.1199029 51.4949498, -0.119835 51.4949429, -0.1198239 51.4949852, -0.1198918 51.4949921))"
The Ealing Doll House,"POLYGON ((-0.3049363 51.5157843, -0.305167 51.5157701, -0.3051824 51.515867, -0.3049517 51.5158812, -0.3049363 51.5157843))"
Crofton Roman Villa,"POLYGON ((0.0879144 51.3730623, 0.0877649 51.3730693, 0.0877399 51.3728635, 0.0879694 51.3728527, 0.0879914 51.3730337, 0.0879114 51.3730374, 0.0879144 51.3730623))"
Dorich House Museum,"POLYGON ((-0.2631146 51.4334172, -0.263077 51.4332706, -0.2630513 51.4332607, -0.2630177 51.4332619, -0.2629989 51.4332693, -0.262993 51.4332816, -0.2629426 51.4332872, -0.2629667 51.4333608, -0.26299 51.433432, -0.2631146 51.4334172))"
Victoria and Albert Museum,"POLYGON ((-0.1737133 51.4971298, -0.1736933 51.4971315, -0.1737541 51.4974117, -0.1737658 51.4974107, -0.1737836 51.4974928, -0.1737515 51.4974955, -0.1737568 51.4975202, -0.1737642 51.4975543, -0.1735785 51.4975699, -0.1734896 51.4975774, -0.1734203 51.4975832, -0.1734167 51.4975693, -0.1734129 51.4975491, -0.1734078 51.4975259, -0.1733768 51.4973828, -0.1732058 51.4973987, -0.1732482 51.4975386, -0.17326 51.4975815, -0.1732712 51.4976183, -0.1724975 51.4977644, -0.1723588 51.4977919, -0.1721295 51.4978437, -0.1717481 51.4978806, -0.1717214 51.4978462, -0.1716331 51.4978714, -0.1716152 51.4978442, -0.1714855 51.4978811, -0.1714522 51.497828, -0.1713973 51.4978427, -0.1706062 51.4967645, -0.1705469 51.4967799, -0.170501 51.4967909, -0.1704468 51.4967148, -0.1704893 51.496702, -0.1706401 51.4966607, -0.1705962 51.4966015, -0.1705431 51.4966145, -0.1705125 51.4966066, -0.1704497 51.4965022, -0.1710551 51.4963508, -0.1710505 51.4963401, -0.1712405 51.4962917, -0.1712597 51.4963194, -0.1716524 51.4962387, -0.1719259 51.4961939, -0.1722396 51.4961398, -0.1722443 51.4961496, -0.1726243 51.4960915, -0.1726193 51.496081, -0.1726426 51.496069, -0.1726313 51.4960355, -0.1728291 51.4960049, -0.1728327 51.4960101, -0.1732871 51.4959638, -0.1732873 51.4959554, -0.1734765 51.4959411, -0.1735876 51.4965787, -0.1736149 51.4967093, -0.1736002 51.4967104, -0.1730126 51.4968036, -0.1730594 51.4969536, -0.173094 51.4970646, -0.1732424 51.4970115, -0.1732597 51.4970714, -0.1736688 51.4970404, -0.1736835 51.4970395, -0.1736862 51.4970511, -0.1736961 51.4970507, -0.1737133 51.4971298), (-0.1727866 51.4968452, -0.1723748 51.4969224, -0.1723801 51.496935, -0.1723019 51.4969488, -0.1722297 51.4969633, -0.172223 51.4969486, -0.1718176 51.4970264, -0.1720651 51.4973885, -0.1722393 51.4973524, -0.1722253 51.4973225, -0.172474 51.4972766, -0.1727056 51.497246, -0.1727211 51.4972609, -0.1729175 51.4972277, -0.1727866 51.4968452))"
