name,geometry
Old Royal Naval College Visitor Centre,"POLYGON ((-0.0089852 51.4828412, -0.0089908 51.4828481, -0.0088417 51.4828986, -0.0088373 51.4828935, -0.0087084 51.482937, -0.0085794 51.4829804, -0.0085842 51.4829853, -0.0084261 51.4830382, -0.0084038 51.4830122, -0.0084154 51.4830082, -0.0083767 51.4829637, -0.00832 51.4829744, -0.0083233 51.4829814, -0.0082215 51.4829998, -0.008164 51.4828792, -0.0082698 51.4828577, -0.0082589 51.4828434, -0.0083952 51.4827968, -0.0083736 51.4827723, -0.0083101 51.4827003, -0.0082374 51.4827256, -0.0081878 51.4826691, -0.0082252 51.4826565, -0.0082235 51.4826546, -0.0087332 51.4824814, -0.0087253 51.4824724, -0.0087218 51.4824736, -0.0086609 51.4824042, -0.0086644 51.482403, -0.0086534 51.4823904, -0.008725 51.4823654, -0.0089092 51.4825746, -0.0086514 51.4826607, -0.0086675 51.4826795, -0.0086836 51.4826982, -0.0087286 51.4826832, -0.0087253 51.4826794, -0.0087576 51.4826686, -0.0087609 51.4826724, -0.0088216 51.4826522, -0.0089107 51.4827572, -0.0089281 51.4827516, -0.0089191 51.4827407, -0.0090269 51.4827061, -0.0091063 51.4828022, -0.0090903 51.4828073, -0.0090969 51.4828153, -0.0090255 51.4828382, -0.0090191 51.4828303, -0.0090054 51.4828347, -0.0089976 51.4828372, -0.0089852 51.4828412))"
Boston Manor,"POLYGON ((-0.318943 51.4921799, -0.3185282 51.4919017, -0.3185724 51.4918783, -0.3183369 51.4917304, -0.3181371 51.4918491, -0.3183318 51.4919751, -0.3183596 51.4919566, -0.3185085 51.4920581, -0.3185792 51.4920227, -0.3188872 51.4922193, -0.318943 51.4921799))"
Vestry House Museum,"POLYGON ((-0.0126071 51.5839886, -0.0127881 51.5842202, -0.0131677 51.5841029, -0.0131294 51.5840549, -0.0130181 51.5840892, -0.0129538 51.5840118, -0.0128363 51.584045, -0.0127224 51.5838967, -0.012658 51.5839143, -0.0126975 51.5839624, -0.0126071 51.5839886))"
Marble Hill House,"POLYGON ((-0.3131321 51.44946, -0.3134205 51.4493793, -0.313503 51.449494, -0.3132147 51.4495746, -0.3131321 51.44946))"
Natural History Museum,"POLYGON ((-0.174088 51.4969533, -0.1744855 51.496924, -0.1745973 51.4969158, -0.1750975 51.4968763, -0.1750994 51.4968891, -0.175449 51.4968602, -0.1754384 51.4968068, -0.1757911 51.4967865, -0.1758493 51.4970577, -0.1760619 51.4970416, -0.1761316 51.4970368, -0.1761859 51.4970326, -0.176638 51.4969972, -0.1770034 51.4969689, -0.1770643 51.4969656, -0.1770704 51.4969975, -0.1770746 51.497015, -0.1772007 51.4970056, -0.1771978 51.4969891, -0.1771913 51.4969517, -0.1777491 51.4969118, -0.1777573 51.4969368, -0.178063 51.4969116, -0.1780177 51.4966666, -0.1779323 51.4961445, -0.1778819 51.4958528, -0.1776412 51.4958676, -0.177641 51.4958921, -0.1766311 51.4959709, -0.1766171 51.495916, -0.1766134 51.4959013, -0.1763801 51.4959205, -0.1761625 51.4959385, -0.1761652 51.4959529, -0.1761756 51.4960094, -0.1751594 51.4960845, -0.1751514 51.4960618, -0.1749098 51.4960824, -0.1749421 51.4962802, -0.1741975 51.4963421, -0.1741947 51.4963273, -0.1742333 51.496306, -0.1742227 51.4962515, -0.1741776 51.4962255, -0.1740801 51.4962341, -0.1740535 51.4962618, -0.1740669 51.4963147, -0.174109 51.4963343, -0.1741096 51.4963489, -0.1739815 51.4963552, -0.1740674 51.4967998, -0.174088 51.4969533))"
Tate Modern,"POLYGON ((-0.1005523 51.5076327, -0.1005444 51.5076945, -0.1005412 51.5077232, -0.1005382 51.5077471, -0.1005169 51.5079077, -0.1005076 51.5079806, -0.0994677 51.5079224, -0.0994018 51.5079195, -0.0993975 51.5079534, -0.0992563 51.5079465, -0.0992606 51.5079125, -0.098144 51.5078601, -0.0981542 51.5077906, -0.098174 51.5076564, -0.098205 51.5074297, -0.0982141 51.5073608, -0.098664 51.5073848, -0.098686 51.507225, -0.0994383 51.5072629, -0.0995635 51.5072684, -0.0997424 51.507277, -0.0998832 51.5071327, -0.1000844 51.5069267, -0.1000907 51.5068778, -0.1005721 51.5070697, -0.1006284 51.5070724, -0.1004783 51.5074289, -0.1004747 51.507455, -0.1004725 51.5074733, -0.1005673 51.5074775, -0.100565 51.5075016, -0.1005523 51.5076327))"
Gunnersbury Park Museum,"POLYGON ((-0.2867242 51.4993093, -0.2867982 51.4993704, -0.2868299 51.4993558, -0.2869313 51.4994515, -0.2867273 51.4995337, -0.2865126 51.4996076, -0.28654 51.4996317, -0.2864855 51.4996549, -0.2864583 51.4996312, -0.2862591 51.4997116, -0.286286 51.4997356, -0.2861896 51.4997747, -0.2861577 51.499746, -0.2860752 51.4997554, -0.2859351 51.4996117, -0.2865246 51.4993823, -0.2865779 51.499392, -0.2866301 51.4993831, -0.2866608 51.4993608, -0.2866676 51.4993319, -0.2867242 51.4993093))"
Petrie Museum of Egyptian Archeology,"POLYGON ((-0.1331 51.5234356, -0.1332406 51.5235679, -0.1332255 51.5235742, -0.1331565 51.5236025, -0.1328686 51.5237209, -0.1327689 51.523627, -0.1327615 51.5236201, -0.132728 51.5235886, -0.1328084 51.5235555, -0.1331 51.5234356))"
Science Museum,"POLYGON ((-0.1782508 51.4969551, -0.1783304 51.4973377, -0.1774457 51.4974091, -0.1774179 51.4972757, -0.1773178 51.4972838, -0.1772981 51.4973143, -0.1772824 51.4973195, -0.1772599 51.4973231, -0.177235 51.4973194, -0.17721 51.4973077, -0.1771932 51.4972938, -0.1761287 51.4973739, -0.1761251 51.4973871, -0.1761155 51.4974011, -0.1760955 51.4974093, -0.1760714 51.4974107, -0.1760503 51.4974059, -0.1760178 51.4973845, -0.1760123 51.4973559, -0.175827 51.4973698, -0.1758227 51.4973475, -0.1751819 51.4973954, -0.1751959 51.4974677, -0.1750919 51.4974755, -0.1751339 51.4976935, -0.17499 51.4977042, -0.1748759 51.4977128, -0.1747831 51.4977197, -0.1744294 51.4977462, -0.1744445 51.4978245, -0.1742478 51.4978392, -0.1742334 51.4977643, -0.1742249 51.4977207, -0.1741919 51.4975494, -0.1741395 51.4972776, -0.1741311 51.4972343, -0.1741603 51.4972322, -0.1745387 51.4972049, -0.1746505 51.4971967, -0.174746 51.4971883, -0.1747432 51.4971734, -0.1751563 51.4971426, -0.1751594 51.4971585, -0.1756742 51.4971201, -0.1756801 51.4971513, -0.1759787 51.4971291, -0.1759739 51.4971043, -0.1759935 51.4970938, -0.1760401 51.4970902, -0.1760726 51.4970941, -0.1760665 51.4970639, -0.1760619 51.4970416, -0.1761316 51.4970368, -0.1761422 51.4970889, -0.1766486 51.4970492, -0.1770746 51.497015, -0.1772007 51.4970056, -0.1772185 51.4970042, -0.1772449 51.497008, -0.1772581 51.4970241, -0.177363 51.4970156, -0.1773604 51.497003, -0.1777458 51.496972, -0.1777507 51.4969955, -0.1782508 51.4969551))"
Foundling Museum,"POLYGON ((-0.1214875 51.5251589, -0.121624 51.5251299, -0.1217666 51.5250987, -0.1218157 51.5251888, -0.1218582 51.525265, -0.1215937 51.5253302, -0.1214875 51.5251589))"
